standardLat,scope,score,eastScaleErrorPct.p50,eastScaleErrorPct.p95,eastScaleErrorPct.max,shapeDistortionPct.p50,shapeDistortionPct.p95,shapeDistortionPct.max,screenNorthErrorDeg.p95,geoAxisHorizontalShare.p95,widthTiles,heightTiles
50.75,middle-east,15.74091108,26.18648331,31.96423841,32.44128428,35.47654208,46.9815251,48.01939162,0,0,,
50.75,western-russia,18.34314606,19.39655175,48.91505615,53.27102481,19.39655175,48.91505615,53.27102481,0,0,,
51,emea,16.72287439,21.78447333,37.27791934,48.38117052,27.85185276,48.2525379,48.38117052,0,0,949,1137
51,iberia,10.10355579,18.44215379,22.5609189,22.97190874,22.61235999,29.13376369,29.82276772,0,0,,
51,british-isles,9.90389349,9.71866192,26.41038265,28.65196603,9.71866192,26.41038265,28.65196603,0,0,,
51,scandinavia,18.64156978,25.86407821,49.71085274,53.01243007,25.86407821,49.71085274,53.01243007,0,0,,
51,central-europe,5.23527737,6.2089702,12.7240402,13.54820938,6.6200043,14.57908939,15.671404,0,0,,
51,mediterranean,12.3090631,20.13809606,26.47099607,27.05069759,25.21614822,36.00075434,37.08150277,0,0,,
51,middle-east,15.98405259,26.58138143,32.32822586,32.80271956,36.20523233,47.77209741,48.81554633,0,0,,
51,western-russia,18.0443884,18.75778699,48.11836907,52.45103355,18.75778699,48.11836907,52.45103355,0,0,,
51.25,emea,16.46217704,22.20666177,36.53692642,47.58024495,27.20423019,47.58024495,49.05711205,0,0,944,1137
51.25,iberia,10.33100935,18.88238327,22.97891628,23.38768769,23.27778358,29.83457927,30.52732255,0,0,,
51.25,british-isles,9.64801877,9.12642719,25.72805005,27.95753391,9.12642719,25.72805005,27.95753391,0,0,,
51.25,scandinavia,18.3385312,25.18469444,48.90274986,52.18650607,25.18469444,48.90274986,52.18650607,0,0,,
51.25,central-europe,5.44962083,6.71523144,13.19513466,14.01485518,6.85549686,15.200916,16.29915866,0,0,,
51.25,mediterranean,12.54319533,20.56917126,26.86788781,27.44446024,25.89570269,36.73883743,37.82545113,0,0,,
51.25,middle-east,16.23020376,26.97767732,32.69350169,33.16543419,36.94442512,48.57406418,49.62317595,0,0,,
51.25,western-russia,17.74457326,18.11676126,47.31886203,51.62813984,18.11676126,47.31886203,51.62813984,0,0,,
51.5,emea,16.36265584,22.63033129,35.79333404,46.77650966,26.51146451,47.55395635,49.87333572,0,0,939,1137
51.5,iberia,10.56118301,19.3241571,23.39838003,23.80492524,23.95284191,30.54554204,31.24207872,0,0,,
51.5,british-isles,9.39124642,8.53211485,25.04332378,27.26066567,8.53211485,25.04332378,27.26066567,0,0,,
51.5,scandinavia,18.03442953,24.50292733,48.09181209,51.35768467,24.50292733,48.09181209,51.35768467,0,0,,
51.5,central-europe,5.66642175,6.27355221,13.66788177,14.48313801,6.59238995,15.83174611,16.93600265,0,0,,
51.5,mediterranean,12.78017331,21.0017587,27.26617187,27.83960423,26.58509651,37.48760731,38.58017121,0,0,,
51.5,middle-east,16.47941805,27.37536346,33.06005893,33.52942125,37.69432078,49.38764273,50.44249934,0,0,,
51.5,western-russia,17.44370635,17.47348675,46.51655026,50.80235934,17.47348675,46.51655026,50.80235934,0,0,,
51.75,emea,16.47320405,23.05547382,35.04715634,45.96997995,26.20265879,48.36923802,50.70143268,0,0,934,1137
51.75,iberia,10.7941245,19.7674669,23.81930217,24.22361343,24.63772005,31.26684691,31.96723218,0,0,,
51.75,british-isles,9.13358132,7.93573621,24.35621686,26.56137457,7.93573621,24.35621686,26.56137457,0,0,,
51.75,scandinavia,17.72927057,23.81878986,47.27805486,50.52598163,23.81878986,47.27805486,50.52598163,0,0,,
51.75,central-europe,5.88572223,6.70018286,14.14227252,14.95304897,7.17381414,16.47175267,17.58211057,0,0,,
51.75,mediterranean,13.0200474,21.43585015,27.66584068,28.23612206,27.28451869,38.24726926,39.34586992,0,0,,
51.75,middle-east,16.73175035,27.77443227,33.42789062,33.89467381,38.45512489,50.21305608,51.27374111,0,0,,
51.75,western-russia,17.14179338,16.82797571,45.71144902,49.97370779,16.82797571,45.71144902,49.97370779,0,0,,
52,emea,16.58640979,23.48208126,34.29840754,45.16067119,26.90627167,49.19643539,51.54163264,0,0,928,1137
52,iberia,11.02988282,20.2123042,24.24167467,24.64374429,25.33260799,31.99869396,32.70298406,0,0,,
52,british-isles,8.87502839,7.33730263,23.66674238,25.85967392,7.33730263,23.66674238,25.85967392,0,0,,
52,scandinavia,17.42306013,23.13229507,46.46149367,49.6914128,23.13229507,46.46149367,49.6914128,0,0,,
52,central-europe,6.10756553,6.57960493,14.61829787,15.42457909,6.57960493,17.12111319,18.23766163,0,0,,
52,mediterranean,13.26286933,21.87143735,28.06688663,28.63400617,27.99416322,39.018034,40.12275964,0,0,,
52,middle-east,16.98725702,28.17487615,33.79698974,34.26118492,39.22704848,51.05053322,52.11713184,0,0,,
52,western-russia,16.83884011,16.18024044,44.90357364,49.14220096,16.18024044,44.90357364,49.14220096,0,0,,
52.25,emea,16.80653172,23.91014549,34.38069248,44.34859877,27.62021751,50.03578063,52.39417143,0,0,923,1137
52.25,iberia,11.26850834,20.65866054,24.66548951,25.06530983,26.03770076,32.74128862,33.44954089,0,0,,
52.25,british-isles,8.61559255,6.73682551,22.97491347,25.15557708,6.73682551,22.97491347,25.15557708,0,0,,
